team_name,avg_r32_opponent_strength,avg_r16_opponent_strength,avg_qf_opponent_strength,avg_sf_opponent_strength,avg_final_opponent_strength,model_version,model_status,parameter_config_path,rating_col,bracket_source,uses_random_pairing,random_seed_used_for
Czechia,1610.565835820896,1698.220629629629,1789.5113333333336,1727.387,,v2_tuned_default,default,/Users/joe/Desktop/McGill/projects/FIFAproject2026/config/model_params_default.json,anchored_final_strength,matches.csv,False,"['scoreline_sampling', 'tiebreakers']"
Mexico,1579.3862934782617,1725.4131428571425,1797.3644838709677,1864.7104,1699.503,v2_tuned_default,default,/Users/joe/Desktop/McGill/projects/FIFAproject2026/config/model_params_default.json,anchored_final_strength,matches.csv,False,"['scoreline_sampling', 'tiebreakers']"
South Africa,1596.8649090909091,1677.6045384615386,1734.255,,,v2_tuned_default,default,/Users/joe/Desktop/McGill/projects/FIFAproject2026/config/model_params_default.json,anchored_final_strength,matches.csv,False,"['scoreline_sampling', 'tiebreakers']"
South Korea,1592.6151975308655,1685.1144102564099,1736.6936923076923,1777.889,,v2_tuned_default,default,/Users/joe/Desktop/McGill/projects/FIFAproject2026/config/model_params_default.json,anchored_final_strength,matches.csv,False,"['scoreline_sampling', 'tiebreakers']"
Bosnia and Herzegovina,1626.2368936170208,1691.9310833333332,1699.976,,,v2_tuned_default,default,/Users/joe/Desktop/McGill/projects/FIFAproject2026/config/model_params_default.json,anchored_final_strength,matches.csv,False,"['scoreline_sampling', 'tiebreakers']"
Canada,1625.5396582278486,1688.6605714285713,1759.3731428571427,1806.2514999999999,1777.889,v2_tuned_default,default,/Users/joe/Desktop/McGill/projects/FIFAproject2026/config/model_params_default.json,anchored_final_strength,matches.csv,False,"['scoreline_sampling', 'tiebreakers']"
Qatar,1593.6802340425534,1720.4405454545456,1774.891,,,v2_tuned_default,default,/Users/joe/Desktop/McGill/projects/FIFAproject2026/config/model_params_default.json,anchored_final_strength,matches.csv,False,"['scoreline_sampling', 'tiebreakers']"
Switzerland,1612.6153052631576,1735.8766226415103,1740.4891199999997,1822.489181818182,1854.9489999999998,v2_tuned_default,default,/Users/joe/Desktop/McGill/projects/FIFAproject2026/config/model_params_default.json,anchored_final_strength,matches.csv,False,"['scoreline_sampling', 'tiebreakers']"
Brazil,1685.0863020833342,1761.1716885245908,1690.0221153846153,1828.3084375000003,1814.427,v2_tuned_default,default,/Users/joe/Desktop/McGill/projects/FIFAproject2026/config/model_params_default.json,anchored_final_strength,matches.csv,False,"['scoreline_sampling', 'tiebreakers']"
Haiti,1743.9637333333333,,,,,v2_tuned_default,default,/Users/joe/Desktop/McGill/projects/FIFAproject2026/config/model_params_default.json,anchored_final_strength,matches.csv,False,"['scoreline_sampling', 'tiebreakers']"
Morocco,1684.1465729166666,1754.334698113208,1674.81,1788.8076875,1767.4585000000002,v2_tuned_default,default,/Users/joe/Desktop/McGill/projects/FIFAproject2026/config/model_params_default.json,anchored_final_strength,matches.csv,False,"['scoreline_sampling', 'tiebreakers']"
Scotland,1721.1677169811326,1701.9652999999998,1759.4640000000002,1891.505,,v2_tuned_default,default,/Users/joe/Desktop/McGill/projects/FIFAproject2026/config/model_params_default.json,anchored_final_strength,matches.csv,False,"['scoreline_sampling', 'tiebreakers']"
Australia,1636.89046031746,1703.0926333333334,1797.306125,1828.0095000000001,,v2_tuned_default,default,/Users/joe/Desktop/McGill/projects/FIFAproject2026/config/model_params_default.json,anchored_final_strength,matches.csv,False,"['scoreline_sampling', 'tiebreakers']"
Paraguay,1695.3590625,1689.3269999999998,1802.6,,,v2_tuned_default,default,/Users/joe/Desktop/McGill/projects/FIFAproject2026/config/model_params_default.json,anchored_final_strength,matches.csv,False,"['scoreline_sampling', 'tiebreakers']"
Turkey,1635.6002531645568,1698.1441521739132,1834.6846315789473,1824.4515000000001,1884.523,v2_tuned_default,default,/Users/joe/Desktop/McGill/projects/FIFAproject2026/config/model_params_default.json,anchored_final_strength,matches.csv,False,"['scoreline_sampling', 'tiebreakers']"
USA,1661.4062933333335,1687.8544324324328,1850.5262000000002,1874.012,,v2_tuned_default,default,/Users/joe/Desktop/McGill/projects/FIFAproject2026/config/model_params_default.json,anchored_final_strength,matches.csv,False,"['scoreline_sampling', 'tiebreakers']"
Cote d'Ivoire,1623.8385068493158,1666.8351176470585,1782.4705,1891.505,,v2_tuned_default,default,/Users/joe/Desktop/McGill/projects/FIFAproject2026/config/model_params_default.json,anchored_final_strength,matches.csv,False,"['scoreline_sampling', 'tiebreakers']"
Curacao,1669.2127857142857,1734.255,,,,v2_tuned_default,default,/Users/joe/Desktop/McGill/projects/FIFAproject2026/config/model_params_default.json,anchored_final_strength,matches.csv,False,"['scoreline_sampling', 'tiebreakers']"
Ecuador,1652.6383258426974,1678.9447209302327,1722.9080000000001,1737.7716666666665,1813.9895999999997,v2_tuned_default,default,/Users/joe/Desktop/McGill/projects/FIFAproject2026/config/model_params_default.json,anchored_final_strength,matches.csv,False,"['scoreline_sampling', 'tiebreakers']"
Germany,1608.1482244897961,1638.4141044776131,1711.9148717948717,1792.3175500000002,1841.763625,v2_tuned_default,default,/Users/joe/Desktop/McGill/projects/FIFAproject2026/config/model_params_default.json,anchored_final_strength,matches.csv,False,"['scoreline_sampling', 'tiebreakers']"
Japan,1728.6172470588258,1718.3960857142858,1720.7009285714287,1765.4474285714289,1828.664,v2_tuned_default,default,/Users/joe/Desktop/McGill/projects/FIFAproject2026/config/model_params_default.json,anchored_final_strength,matches.csv,False,"['scoreline_sampling', 'tiebreakers']"
Netherlands,1721.0553586956544,1758.9198421052638,1727.44724137931,1793.95455,1823.9869000000003,v2_tuned_default,default,/Users/joe/Desktop/McGill/projects/FIFAproject2026/config/model_params_default.json,anchored_final_strength,matches.csv,False,"['scoreline_sampling', 'tiebreakers']"
Sweden,1697.4137000000007,1791.7236111111113,1756.94325,1656.732,,v2_tuned_default,default,/Users/joe/Desktop/McGill/projects/FIFAproject2026/config/model_params_default.json,anchored_final_strength,matches.csv,False,"['scoreline_sampling', 'tiebreakers']"
Tunisia,1713.4689999999996,1753.7353333333333,1751.841,,,v2_tuned_default,default,/Users/joe/Desktop/McGill/projects/FIFAproject2026/config/model_params_default.json,anchored_final_strength,matches.csv,False,"['scoreline_sampling', 'tiebreakers']"
Belgium,1605.0684947368416,1662.2831527777778,1792.1164545454542,1726.0041333333331,1831.5005,v2_tuned_default,default,/Users/joe/Desktop/McGill/projects/FIFAproject2026/config/model_params_default.json,anchored_final_strength,matches.csv,False,"['scoreline_sampling', 'tiebreakers']"
Egypt,1631.9406206896556,1729.8718918918923,1770.8387777777778,1874.012,,v2_tuned_default,default,/Users/joe/Desktop/McGill/projects/FIFAproject2026/config/model_params_default.json,anchored_final_strength,matches.csv,False,"['scoreline_sampling', 'tiebreakers']"
IR Iran,1637.6019354838709,1745.1845625000005,1801.1685454545454,1843.046777777778,1691.795,v2_tuned_default,default,/Users/joe/Desktop/McGill/projects/FIFAproject2026/config/model_params_default.json,anchored_final_strength,matches.csv,False,"['scoreline_sampling', 'tiebreakers']"
New Zealand,1699.813777777778,,,,,v2_tuned_default,default,/Users/joe/Desktop/McGill/projects/FIFAproject2026/config/model_params_default.json,anchored_final_strength,matches.csv,False,"['scoreline_sampling', 'tiebreakers']"
Cabo Verde,1734.17364,1673.5696666666665,,,,v2_tuned_default,default,/Users/joe/Desktop/McGill/projects/FIFAproject2026/config/model_params_default.json,anchored_final_strength,matches.csv,False,"['scoreline_sampling', 'tiebreakers']"
Saudi Arabia,1736.4481,1718.7783333333334,,,,v2_tuned_default,default,/Users/joe/Desktop/McGill/projects/FIFAproject2026/config/model_params_default.json,anchored_final_strength,matches.csv,False,"['scoreline_sampling', 'tiebreakers']"
Spain,1718.3294099999973,1732.9294533333332,1670.485403846154,1751.3698536585366,1820.7966060606063,v2_tuned_default,default,/Users/joe/Desktop/McGill/projects/FIFAproject2026/config/model_params_default.json,anchored_final_strength,matches.csv,False,"['scoreline_sampling', 'tiebreakers']"
Uruguay,1753.9121752577296,1696.4639285714286,1706.6781499999993,1814.1442857142858,1749.27125,v2_tuned_default,default,/Users/joe/Desktop/McGill/projects/FIFAproject2026/config/model_params_default.json,anchored_final_strength,matches.csv,False,"['scoreline_sampling', 'tiebreakers']"
France,1608.9886800000004,1746.3729560439574,1734.942971830986,1771.457943396227,1816.9307714285712,v2_tuned_default,default,/Users/joe/Desktop/McGill/projects/FIFAproject2026/config/model_params_default.json,anchored_final_strength,matches.csv,False,"['scoreline_sampling', 'tiebreakers']"
Iraq,1686.7373599999999,1731.9162499999998,1681.384,,,v2_tuned_default,default,/Users/joe/Desktop/McGill/projects/FIFAproject2026/config/model_params_default.json,anchored_final_strength,matches.csv,False,"['scoreline_sampling', 'tiebreakers']"
Norway,1643.4004126984128,1711.6926428571428,1752.851333333333,1753.8538333333333,1723.0506666666668,v2_tuned_default,default,/Users/joe/Desktop/McGill/projects/FIFAproject2026/config/model_params_default.json,anchored_final_strength,matches.csv,False,"['scoreline_sampling', 'tiebreakers']"
Senegal,1652.1152894736847,1720.783024390244,1694.5303157894737,1817.2074444444447,1846.07375,v2_tuned_default,default,/Users/joe/Desktop/McGill/projects/FIFAproject2026/config/model_params_default.json,anchored_final_strength,matches.csv,False,"['scoreline_sampling', 'tiebreakers']"
Algeria,1762.389692307692,1700.123571428571,1759.7414,1772.9425,,v2_tuned_default,default,/Users/joe/Desktop/McGill/projects/FIFAproject2026/config/model_params_default.json,anchored_final_strength,matches.csv,False,"['scoreline_sampling', 'tiebreakers']"
Argentina,1743.8567399999997,1644.5962394366197,1711.0859999999993,1786.6889795918369,1813.5427187499997,v2_tuned_default,default,/Users/joe/Desktop/McGill/projects/FIFAproject2026/config/model_params_default.json,anchored_final_strength,matches.csv,False,"['scoreline_sampling', 'tiebreakers']"
Austria,1752.0331481481485,1726.5764230769228,1752.5671666666667,1696.6523333333334,1734.255,v2_tuned_default,default,/Users/joe/Desktop/McGill/projects/FIFAproject2026/config/model_params_default.json,anchored_final_strength,matches.csv,False,"['scoreline_sampling', 'tiebreakers']"
Jordan,1690.9665294117647,1701.704,,,,v2_tuned_default,default,/Users/joe/Desktop/McGill/projects/FIFAproject2026/config/model_params_default.json,anchored_final_strength,matches.csv,False,"['scoreline_sampling', 'tiebreakers']"
Colombia,1663.8915806451614,1703.5986874999999,1757.7373529411764,1752.733789473684,1773.3149999999998,v2_tuned_default,default,/Users/joe/Desktop/McGill/projects/FIFAproject2026/config/model_params_default.json,anchored_final_strength,matches.csv,False,"['scoreline_sampling', 'tiebreakers']"
DR Congo,1730.2146111111106,1724.5223333333333,1603.4,1828.734,,v2_tuned_default,default,/Users/joe/Desktop/McGill/projects/FIFAproject2026/config/model_params_default.json,anchored_final_strength,matches.csv,False,"['scoreline_sampling', 'tiebreakers']"
Portugal,1667.8531699999994,1702.5959218749997,1770.6402682926835,1792.3037894736844,1790.4429,v2_tuned_default,default,/Users/joe/Desktop/McGill/projects/FIFAproject2026/config/model_params_default.json,anchored_final_strength,matches.csv,False,"['scoreline_sampling', 'tiebreakers']"
Uzbekistan,1777.733769230769,1595.74275,,,,v2_tuned_default,default,/Users/joe/Desktop/McGill/projects/FIFAproject2026/config/model_params_default.json,anchored_final_strength,matches.csv,False,"['scoreline_sampling', 'tiebreakers']"
Croatia,1647.2588387096766,1724.6137272727278,1779.1665128205134,1820.0597647058826,1805.3314444444445,v2_tuned_default,default,/Users/joe/Desktop/McGill/projects/FIFAproject2026/config/model_params_default.json,anchored_final_strength,matches.csv,False,"['scoreline_sampling', 'tiebreakers']"
England,1638.095806122448,1693.0031392405076,1771.169685185186,1786.011903225807,1815.9552222222221,v2_tuned_default,default,/Users/joe/Desktop/McGill/projects/FIFAproject2026/config/model_params_default.json,anchored_final_strength,matches.csv,False,"['scoreline_sampling', 'tiebreakers']"
Ghana,1740.7483999999995,,,,,v2_tuned_default,default,/Users/joe/Desktop/McGill/projects/FIFAproject2026/config/model_params_default.json,anchored_final_strength,matches.csv,False,"['scoreline_sampling', 'tiebreakers']"
Panama,1733.044171875,1752.8902000000003,1798.17,1762.774,,v2_tuned_default,default,/Users/joe/Desktop/McGill/projects/FIFAproject2026/config/model_params_default.json,anchored_final_strength,matches.csv,False,"['scoreline_sampling', 'tiebreakers']"
