team_name,fifa_code,group_letter,simulations,group_rank_1_probability,group_rank_2_probability,group_rank_3_probability,group_rank_4_probability,qualified_top_2_probability,qualified_best_third_probability,qualification_probability,average_points,average_goal_difference,group_rank_1_count,group_rank_2_count,group_rank_3_count,group_rank_4_count,qualified_top_2_count,qualified_best_third_count,qualified_count
Mexico,MEX,A,10000,0.5054,0.2722,0.1492,0.0732,0.7776,0.122,0.8996,5.7433,2.4624,5054,2722,1492,732,7776,1220,8996
South Korea,KOR,A,10000,0.2534,0.3089,0.2641,0.1736,0.5623,0.2031,0.7654,4.4737,0.5147,2534,3089,2641,1736,5623,2031,7654
Czechia,CZE,A,10000,0.169,0.2685,0.3083,0.2542,0.4375,0.2161,0.6536,3.7861,-0.5331,1690,2685,3083,2542,4375,2161,6536
South Africa,RSA,A,10000,0.0722,0.1504,0.2784,0.499,0.2226,0.1768,0.3994,2.6022,-2.444,722,1504,2784,4990,2226,1768,3994
Switzerland,SUI,B,10000,0.5718,0.2666,0.1148,0.0468,0.8384,0.0954,0.9338,6.1782,3.1851,5718,2666,1148,468,8384,954,9338
Canada,CAN,B,10000,0.2659,0.3534,0.2376,0.1431,0.6193,0.1773,0.7966,4.6741,0.8153,2659,3534,2376,1431,6193,1773,7966
Bosnia and Herzegovina,BIH,B,10000,0.0831,0.1941,0.3251,0.3977,0.2772,0.2063,0.4835,2.9239,-1.9973,831,1941,3251,3977,2772,2063,4835
Qatar,QAT,B,10000,0.0792,0.1859,0.3225,0.4124,0.2651,0.211,0.4761,2.894,-2.0031,792,1859,3225,4124,2651,2110,4761
Brazil,BRA,C,10000,0.4885,0.3755,0.1162,0.0198,0.864,0.0971,0.9611,6.2604,3.6,4885,3755,1162,198,8640,971,9611
Morocco,MAR,C,10000,0.439,0.4016,0.1359,0.0235,0.8406,0.113,0.9536,6.1002,3.3742,4390,4016,1359,235,8406,1130,9536
Scotland,SCO,C,10000,0.0651,0.1845,0.5399,0.2105,0.2496,0.3416,0.5912,3.2849,-1.5411,651,1845,5399,2105,2496,3416,5912
Haiti,HAI,C,10000,0.0074,0.0384,0.208,0.7462,0.0458,0.0897,0.1355,1.2788,-5.4331,74,384,2080,7462,458,897,1355
Turkey,TUR,D,10000,0.3324,0.2726,0.2258,0.1692,0.605,0.1752,0.7802,4.7119,0.8574,3324,2726,2258,1692,6050,1752,7802
USA,USA,D,10000,0.3001,0.2697,0.2379,0.1923,0.5698,0.1857,0.7555,4.5287,0.6114,3001,2697,2379,1923,5698,1857,7555
Australia,AUS,D,10000,0.2118,0.2432,0.2706,0.2744,0.455,0.2,0.655,3.8721,-0.3456,2118,2432,2706,2744,4550,2000,6550
Paraguay,PAR,D,10000,0.1557,0.2145,0.2657,0.3641,0.3702,0.191,0.5612,3.3878,-1.1232,1557,2145,2657,3641,3702,1910,5612
Germany,GER,E,10000,0.5693,0.2839,0.1253,0.0215,0.8532,0.1094,0.9626,6.397,3.7916,5693,2839,1253,215,8532,1094,9626
Ecuador,ECU,E,10000,0.2861,0.3899,0.2575,0.0665,0.676,0.1999,0.8759,5.1542,1.6444,2861,3899,2575,665,6760,1999,8759
Cote d'Ivoire,CIV,E,10000,0.1333,0.2757,0.435,0.156,0.409,0.3111,0.7201,3.936,-0.3365,1333,2757,4350,1560,4090,3111,7201
Curacao,CUR,E,10000,0.0113,0.0505,0.1822,0.756,0.0618,0.0926,0.1544,1.3685,-5.0995,113,505,1822,7560,618,926,1544
Netherlands,NED,F,10000,0.587,0.2557,0.1172,0.0401,0.8427,0.0965,0.9392,6.2319,3.2904,5870,2557,1172,401,8427,965,9392
Japan,JPN,F,10000,0.2676,0.3644,0.2394,0.1286,0.632,0.1806,0.8126,4.7251,0.9072,2676,3644,2394,1286,6320,1806,8126
Sweden,SWE,F,10000,0.0906,0.2165,0.3468,0.3461,0.3071,0.2257,0.5328,3.1455,-1.6404,906,2165,3468,3461,3071,2257,5328
Tunisia,TUN,F,10000,0.0548,0.1634,0.2966,0.4852,0.2182,0.1816,0.3998,2.5737,-2.5572,548,1634,2966,4852,2182,1816,3998
Belgium,BEL,G,10000,0.5645,0.2796,0.1365,0.0194,0.8441,0.1177,0.9618,6.3694,3.6839,5645,2796,1365,194,8441,1177,9618
IR Iran,IRN,G,10000,0.2428,0.3575,0.3139,0.0858,0.6003,0.2432,0.8435,4.8262,1.1621,2428,3575,3139,858,6003,2432,8435
Egypt,EGY,G,10000,0.1842,0.3211,0.3829,0.1118,0.5053,0.2839,0.7892,4.3844,0.4264,1842,3211,3829,1118,5053,2839,7892
New Zealand,NZL,G,10000,0.0085,0.0418,0.1667,0.783,0.0503,0.0848,0.1351,1.2693,-5.2724,85,418,1667,7830,503,848,1351
Spain,ESP,H,10000,0.7687,0.2001,0.0267,0.0045,0.9688,0.0234,0.9922,7.4795,6.0397,7687,2001,267,45,9688,234,9922
Uruguay,URU,H,10000,0.203,0.5975,0.1543,0.0452,0.8005,0.11,0.9105,5.3514,1.9441,2030,5975,1543,452,8005,1100,9105
Saudi Arabia,KSA,H,10000,0.0168,0.1132,0.4322,0.4378,0.13,0.2002,0.3302,2.2253,-3.7407,168,1132,4322,4378,1300,2002,3302
Cabo Verde,CPV,H,10000,0.0115,0.0892,0.3868,0.5125,0.1007,0.1675,0.2682,1.9542,-4.2431,115,892,3868,5125,1007,1675,2682
France,FRA,I,10000,0.7019,0.2125,0.0705,0.0151,0.9144,0.0601,0.9745,6.8898,4.5839,7019,2125,705,151,9144,601,9745
Senegal,SEN,I,10000,0.1876,0.4138,0.2751,0.1235,0.6014,0.197,0.7984,4.5793,0.6382,1876,4138,2751,1235,6014,1970,7984
Norway,NOR,I,10000,0.0902,0.275,0.3992,0.2356,0.3652,0.2573,0.6225,3.5264,-1.0913,902,2750,3992,2356,3652,2573,6225
Iraq,IRQ,I,10000,0.0203,0.0987,0.2552,0.6258,0.119,0.1319,0.2509,1.8256,-4.1308,203,987,2552,6258,1190,1319,2509
Argentina,ARG,J,10000,0.7698,0.1746,0.0473,0.0083,0.9444,0.0431,0.9875,7.2611,5.3724,7698,1746,473,83,9444,431,9875
Austria,AUT,J,10000,0.1184,0.3982,0.327,0.1564,0.5166,0.225,0.7416,4.1212,-0.214,1184,3982,3270,1564,5166,2250,7416
Algeria,ALG,J,10000,0.0956,0.325,0.381,0.1984,0.4206,0.2442,0.6648,3.6856,-0.8724,956,3250,3810,1984,4206,2442,6648
Jordan,JOR,J,10000,0.0162,0.1022,0.2447,0.6369,0.1184,0.12,0.2384,1.8006,-4.286,162,1022,2447,6369,1184,1200,2384
Portugal,POR,K,10000,0.5214,0.3252,0.1183,0.0351,0.8466,0.0974,0.944,6.1388,3.2189,5214,3252,1183,351,8466,974,9440
Colombia,COL,K,10000,0.3773,0.3956,0.1648,0.0623,0.7729,0.1287,0.9016,5.5227,2.1474,3773,3956,1648,623,7729,1287,9016
DR Congo,COD,K,10000,0.0545,0.1456,0.3603,0.4396,0.2001,0.2143,0.4144,2.5865,-2.5746,545,1456,3603,4396,2001,2143,4144
Uzbekistan,UZB,K,10000,0.0468,0.1336,0.3566,0.463,0.1804,0.2074,0.3878,2.4884,-2.7917,468,1336,3566,4630,1804,2074,3878
England,ENG,L,10000,0.6053,0.2991,0.0832,0.0124,0.9044,0.0718,0.9762,6.6979,4.3683,6053,2991,832,124,9044,718,9762
Croatia,CRO,L,10000,0.3209,0.445,0.1979,0.0362,0.7659,0.156,0.9219,5.5325,2.3287,3209,4450,1979,362,7659,1560,9219
Panama,PAN,L,10000,0.0659,0.2093,0.5066,0.2182,0.2752,0.3241,0.5993,3.3447,-1.4091,659,2093,5066,2182,2752,3241,5993
Ghana,GHA,L,10000,0.0079,0.0466,0.2123,0.7332,0.0545,0.0923,0.1468,1.3361,-5.2879,79,466,2123,7332,545,923,1468
