match_number,round,slot_a,slot_b,team_a,team_b,winner,original_match_label,resolved_match_label,bracket_mode,bracket_source,uses_random_pairing,official_bracket,random_seed_used_for,model_version,model_status,parameter_config_path,rating_col
73,R32,2A,2B,Czechia,Switzerland,Switzerland,2A vs 2B,2A vs 2B,fixed_approximation,matches.csv,False,False,"['scoreline_sampling', 'tiebreakers']",v2_tuned_default,default,/Users/joe/Desktop/McGill/projects/FIFAproject2026/config/model_params_default.json,anchored_final_strength
74,R32,1C,2F,Morocco,Netherlands,Netherlands,1C vs 2F,1C vs 2F,fixed_approximation,matches.csv,False,False,"['scoreline_sampling', 'tiebreakers']",v2_tuned_default,default,/Users/joe/Desktop/McGill/projects/FIFAproject2026/config/model_params_default.json,anchored_final_strength
75,R32,1E,3ABCDF,Germany,South Korea,South Korea,1E vs 3ABCDF,1E vs 3ABCDF,fixed_approximation,matches.csv,False,False,"['scoreline_sampling', 'tiebreakers']",v2_tuned_default,default,/Users/joe/Desktop/McGill/projects/FIFAproject2026/config/model_params_default.json,anchored_final_strength
76,R32,1F,2C,Sweden,Brazil,Brazil,1F vs 2C,1F vs 2C,fixed_approximation,matches.csv,False,False,"['scoreline_sampling', 'tiebreakers']",v2_tuned_default,default,/Users/joe/Desktop/McGill/projects/FIFAproject2026/config/model_params_default.json,anchored_final_strength
77,R32,2E,2I,Cote d'Ivoire,Senegal,Cote d'Ivoire,2E vs 2I,2E vs 2I,fixed_approximation,matches.csv,False,False,"['scoreline_sampling', 'tiebreakers']",v2_tuned_default,default,/Users/joe/Desktop/McGill/projects/FIFAproject2026/config/model_params_default.json,anchored_final_strength
78,R32,1I,3CDFGH,France,Paraguay,France,1I vs 3CDFGH,1I vs 3CDFGH,fixed_approximation,matches.csv,False,False,"['scoreline_sampling', 'tiebreakers']",v2_tuned_default,default,/Users/joe/Desktop/McGill/projects/FIFAproject2026/config/model_params_default.json,anchored_final_strength
79,R32,1A,3CEFHI,Mexico,Ecuador,Mexico,1A vs 3CEFHI,1A vs 3CEFHI,fixed_approximation,matches.csv,False,False,"['scoreline_sampling', 'tiebreakers']",v2_tuned_default,default,/Users/joe/Desktop/McGill/projects/FIFAproject2026/config/model_params_default.json,anchored_final_strength
80,R32,1L,3EHIJK,England,Iraq,England,1L vs 3EHIJK,1L vs 3EHIJK,fixed_approximation,matches.csv,False,False,"['scoreline_sampling', 'tiebreakers']",v2_tuned_default,default,/Users/joe/Desktop/McGill/projects/FIFAproject2026/config/model_params_default.json,anchored_final_strength
81,R32,1G,3AEHIJ,Belgium,Austria,Belgium,1G vs 3AEHIJ,1G vs 3AEHIJ,fixed_approximation,matches.csv,False,False,"['scoreline_sampling', 'tiebreakers']",v2_tuned_default,default,/Users/joe/Desktop/McGill/projects/FIFAproject2026/config/model_params_default.json,anchored_final_strength
82,R32,1D,3BEFIJ,USA,Japan,Japan,1D vs 3BEFIJ,1D vs 3BEFIJ,fixed_approximation,matches.csv,False,False,"['scoreline_sampling', 'tiebreakers']",v2_tuned_default,default,/Users/joe/Desktop/McGill/projects/FIFAproject2026/config/model_params_default.json,anchored_final_strength
83,R32,1H,2J,Spain,Argentina,Spain,1H vs 2J,1H vs 2J,fixed_approximation,matches.csv,False,False,"['scoreline_sampling', 'tiebreakers']",v2_tuned_default,default,/Users/joe/Desktop/McGill/projects/FIFAproject2026/config/model_params_default.json,anchored_final_strength
84,R32,2K,2L,Colombia,Croatia,Croatia,2K vs 2L,2K vs 2L,fixed_approximation,matches.csv,False,False,"['scoreline_sampling', 'tiebreakers']",v2_tuned_default,default,/Users/joe/Desktop/McGill/projects/FIFAproject2026/config/model_params_default.json,anchored_final_strength
85,R32,1B,3EFGIJ,Canada,Egypt,Egypt,1B vs 3EFGIJ,1B vs 3EFGIJ,fixed_approximation,matches.csv,False,False,"['scoreline_sampling', 'tiebreakers']",v2_tuned_default,default,/Users/joe/Desktop/McGill/projects/FIFAproject2026/config/model_params_default.json,anchored_final_strength
86,R32,2D,2G,Australia,IR Iran,Australia,2D vs 2G,2D vs 2G,fixed_approximation,matches.csv,False,False,"['scoreline_sampling', 'tiebreakers']",v2_tuned_default,default,/Users/joe/Desktop/McGill/projects/FIFAproject2026/config/model_params_default.json,anchored_final_strength
87,R32,1J,2H,Algeria,Uruguay,Uruguay,1J vs 2H,1J vs 2H,fixed_approximation,matches.csv,False,False,"['scoreline_sampling', 'tiebreakers']",v2_tuned_default,default,/Users/joe/Desktop/McGill/projects/FIFAproject2026/config/model_params_default.json,anchored_final_strength
88,R32,1K,3DEIJL,Portugal,Panama,Portugal,1K vs 3DEIJL,1K vs 3DEIJL,fixed_approximation,matches.csv,False,False,"['scoreline_sampling', 'tiebreakers']",v2_tuned_default,default,/Users/joe/Desktop/McGill/projects/FIFAproject2026/config/model_params_default.json,anchored_final_strength
89,R16,W73,W75,Switzerland,South Korea,Switzerland,W73 vs W75,W73 vs W75,fixed_approximation,matches.csv,False,False,"['scoreline_sampling', 'tiebreakers']",v2_tuned_default,default,/Users/joe/Desktop/McGill/projects/FIFAproject2026/config/model_params_default.json,anchored_final_strength
90,R16,W74,W77,Netherlands,Cote d'Ivoire,Netherlands,W74 vs W77,W74 vs W77,fixed_approximation,matches.csv,False,False,"['scoreline_sampling', 'tiebreakers']",v2_tuned_default,default,/Users/joe/Desktop/McGill/projects/FIFAproject2026/config/model_params_default.json,anchored_final_strength
91,R16,W76,W78,Brazil,France,France,W76 vs W78,W76 vs W78,fixed_approximation,matches.csv,False,False,"['scoreline_sampling', 'tiebreakers']",v2_tuned_default,default,/Users/joe/Desktop/McGill/projects/FIFAproject2026/config/model_params_default.json,anchored_final_strength
92,R16,W79,W80,Mexico,England,England,W79 vs W80,W79 vs W80,fixed_approximation,matches.csv,False,False,"['scoreline_sampling', 'tiebreakers']",v2_tuned_default,default,/Users/joe/Desktop/McGill/projects/FIFAproject2026/config/model_params_default.json,anchored_final_strength
93,R16,W83,W84,Spain,Croatia,Spain,W83 vs W84,W83 vs W84,fixed_approximation,matches.csv,False,False,"['scoreline_sampling', 'tiebreakers']",v2_tuned_default,default,/Users/joe/Desktop/McGill/projects/FIFAproject2026/config/model_params_default.json,anchored_final_strength
94,R16,W81,W82,Belgium,Japan,Japan,W81 vs W82,W81 vs W82,fixed_approximation,matches.csv,False,False,"['scoreline_sampling', 'tiebreakers']",v2_tuned_default,default,/Users/joe/Desktop/McGill/projects/FIFAproject2026/config/model_params_default.json,anchored_final_strength
95,R16,W86,W88,Australia,Portugal,Portugal,W86 vs W88,W86 vs W88,fixed_approximation,matches.csv,False,False,"['scoreline_sampling', 'tiebreakers']",v2_tuned_default,default,/Users/joe/Desktop/McGill/projects/FIFAproject2026/config/model_params_default.json,anchored_final_strength
96,R16,W85,W87,Egypt,Uruguay,Uruguay,W85 vs W87,W85 vs W87,fixed_approximation,matches.csv,False,False,"['scoreline_sampling', 'tiebreakers']",v2_tuned_default,default,/Users/joe/Desktop/McGill/projects/FIFAproject2026/config/model_params_default.json,anchored_final_strength
97,QF,W89,W90,Switzerland,Netherlands,Netherlands,W89 vs W90,W89 vs W90,fixed_approximation,matches.csv,False,False,"['scoreline_sampling', 'tiebreakers']",v2_tuned_default,default,/Users/joe/Desktop/McGill/projects/FIFAproject2026/config/model_params_default.json,anchored_final_strength
98,QF,W93,W94,Spain,Japan,Spain,W93 vs W94,W93 vs W94,fixed_approximation,matches.csv,False,False,"['scoreline_sampling', 'tiebreakers']",v2_tuned_default,default,/Users/joe/Desktop/McGill/projects/FIFAproject2026/config/model_params_default.json,anchored_final_strength
99,QF,W91,W92,France,England,France,W91 vs W92,W91 vs W92,fixed_approximation,matches.csv,False,False,"['scoreline_sampling', 'tiebreakers']",v2_tuned_default,default,/Users/joe/Desktop/McGill/projects/FIFAproject2026/config/model_params_default.json,anchored_final_strength
100,QF,W95,W96,Portugal,Uruguay,Portugal,W95 vs W96,W95 vs W96,fixed_approximation,matches.csv,False,False,"['scoreline_sampling', 'tiebreakers']",v2_tuned_default,default,/Users/joe/Desktop/McGill/projects/FIFAproject2026/config/model_params_default.json,anchored_final_strength
101,SF,W97,W98,Netherlands,Spain,Spain,W97 vs W98,W97 vs W98,fixed_approximation,matches.csv,False,False,"['scoreline_sampling', 'tiebreakers']",v2_tuned_default,default,/Users/joe/Desktop/McGill/projects/FIFAproject2026/config/model_params_default.json,anchored_final_strength
102,SF,W99,W100,France,Portugal,Portugal,W99 vs W100,W99 vs W100,fixed_approximation,matches.csv,False,False,"['scoreline_sampling', 'tiebreakers']",v2_tuned_default,default,/Users/joe/Desktop/McGill/projects/FIFAproject2026/config/model_params_default.json,anchored_final_strength
103,Third Place,RU101,RU102,Netherlands,France,France,RU101 vs RU102,RU101 vs RU102,fixed_approximation,matches.csv,False,False,"['scoreline_sampling', 'tiebreakers']",v2_tuned_default,default,/Users/joe/Desktop/McGill/projects/FIFAproject2026/config/model_params_default.json,anchored_final_strength
104,Final,W101,W102,Spain,Portugal,Spain,W101 vs W102,W101 vs W102,fixed_approximation,matches.csv,False,False,"['scoreline_sampling', 'tiebreakers']",v2_tuned_default,default,/Users/joe/Desktop/McGill/projects/FIFAproject2026/config/model_params_default.json,anchored_final_strength
