team,max_player_value_eur,top_player_name,top_player_value_eur,squad_market_value_eur,median_player_value_eur,avg_player_value_eur,top_5_value_eur,top_1_value_share,top_1_to_team_median_ratio,top_1_to_team_average_ratio,top_1_to_top_5_ratio,superstar_score,superstar_flag
Norway,200000000.0,HAALAND Erling,200000000.0,524000000.0,14000000.0,24952380.95238095,372000000.0,0.3816793893129771,14.285714285714286,8.01526717557252,0.5376344086021505,1.2017434587541258,False
Egypt,65000000.0,OMAR MARMOUSH,65000000.0,112075000.0,2500000.0,11207500.0,107500000.0,0.5799687709123355,26.0,5.799687709123355,0.6046511627906976,1.1751460888326908,False
Ecuador,110000000.0,CAICEDO Moises,110000000.0,297600000.0,5000000.0,17505882.352941178,251000000.0,0.3696236559139785,22.0,6.283602150537634,0.43824701195219123,1.1187483226911383,False
Uzbekistan,35000000.0,KHUSANOV Abdukodir,35000000.0,52850000.0,1650000.0,6606250.0,50300000.0,0.6622516556291391,21.21212121212121,5.298013245033113,0.6958250497017893,0.9020474790565267,False
Sweden,120000000.0,ISAK Alexander,120000000.0,439800000.0,9250000.0,21990000.0,310000000.0,0.2728512960436562,12.972972972972974,5.457025920873124,0.3870967741935484,0.8300175081815147,False
Ghana,65000000.0,SEMENYO Antoine,65000000.0,181100000.0,3500000.0,9055000.0,140000000.0,0.35891772501380453,18.571428571428573,7.1783545002760905,0.4642857142857143,0.8072458355535524,False
Colombia,70000000.0,DIAZ Luis,70000000.0,216300000.0,5000000.0,11384210.52631579,150000000.0,0.32362459546925565,14.0,6.148867313915858,0.4666666666666667,0.6812249155308457,False
Cabo Verde,28000000.0,KELVIN PIRES,28000000.0,70925000.0,1000000.0,4172058.8235294116,60500000.0,0.39478322171307717,28.0,6.711314769122312,0.4628099173553719,0.6576131675264298,False
Uruguay,120000000.0,VALVERDE Federico,120000000.0,452750000.0,14000000.0,25152777.777777776,317000000.0,0.2650469353948095,8.571428571428571,4.770844837106571,0.3785488958990536,0.6423659557598107,False
Brazil,180000000.0,VINICIUS JUNIOR,180000000.0,849500000.0,32500000.0,38613636.36363637,430000000.0,0.21188934667451442,5.538461538461538,4.661565626839317,0.4186046511627907,0.5746577191071163,False
Croatia,70000000.0,GVARDIOL Josko,70000000.0,307650000.0,7000000.0,12818750.0,189000000.0,0.22753128555176336,10.0,5.460750853242321,0.37037037037037035,0.43876782809265646,False
Morocco,80000000.0,HAKIMI Achraf,80000000.0,368400000.0,11000000.0,18420000.0,222000000.0,0.21715526601520088,7.2727272727272725,4.3431053203040175,0.36036036036036034,0.34785811799040167,False
Germany,130000000.0,MUSIALA Jamal,130000000.0,925500000.0,25000000.0,37020000.0,430000000.0,0.14046461372231225,5.2,3.5116153430578065,0.3023255813953488,0.33502870627199016,False
France,180000000.0,MBAPPE Kylian,180000000.0,1463000000.0,47500000.0,56269230.76923077,600000000.0,0.12303485987696514,3.789473684210526,3.1989063568010936,0.3,0.3208029492608165,False
Turkey,75000000.0,YILDIZ Kenan,75000000.0,404900000.0,10000000.0,16196000.0,218000000.0,0.18523092121511484,7.5,4.630773030377871,0.3440366972477064,0.30128360613407146,False
England,160000000.0,BELLINGHAM Jude,160000000.0,1294000000.0,40000000.0,49769230.76923077,545000000.0,0.12364760432766615,4.0,3.21483771251932,0.29357798165137616,0.2940004719076405,False
Argentina,100000000.0,ALVAREZ Julian,100000000.0,836500000.0,20000000.0,33460000.0,420000000.0,0.1195457262402869,5.0,2.9886431560071727,0.23809523809523808,0.18368253287054115,False
Canada,50000000.0,DAVIES Alphonso,50000000.0,159950000.0,8000000.0,10663333.333333334,123000000.0,0.31259768677711786,6.25,4.688965301656768,0.4065040650406504,0.17489706775425687,False
Spain,120000000.0,YAMAL Lamine,120000000.0,990000000.0,30000000.0,39600000.0,395000000.0,0.12121212121212122,4.0,3.0303030303030303,0.3037974683544304,0.16729073865545913,False
DR Congo,28000000.0,WISSA Yoane,28000000.0,115250000.0,2500000.0,5488095.238095238,78000000.0,0.24295010845986983,11.2,5.101952277657267,0.358974358974359,0.10762481032370155,False
Scotland,45000000.0,McTOMINAY Scott,45000000.0,232850000.0,5750000.0,9702083.333333334,141000000.0,0.1932574618853339,7.826086956521739,4.638179085248013,0.3191489361702128,0.10715528693145894,False
Mexico,40000000.0,GIMENEZ Santiago,40000000.0,115500000.0,7000000.0,10500000.0,88000000.0,0.3463203463203463,5.714285714285714,3.8095238095238093,0.45454545454545453,0.0734820422249326,False
Portugal,110000000.0,JOAO NEVES,110000000.0,1022500000.0,32500000.0,39326923.07692308,445000000.0,0.10757946210268948,3.3846153846153846,2.7970660146699267,0.24719101123595505,0.04353802721761779,False
Panama,10000000.0,MURILLO Amir,10000000.0,15200000.0,1000000.0,2533333.3333333335,15000000.0,0.6578947368421053,10.0,3.9473684210526314,0.6666666666666666,0.030263744209921728,False
Haiti,18000000.0,ISIDOR Wilson,18000000.0,54050000.0,1600000.0,3603333.3333333335,44000000.0,0.3330249768732655,11.25,4.995374653098982,0.4090909090909091,0.009131823602808516,False
Algeria,40000000.0,AIT-NOURI Rayan,40000000.0,198800000.0,6000000.0,9940000.0,133000000.0,0.2012072434607646,6.666666666666667,4.0241448692152915,0.3007518796992481,-0.005311019486975127,False
Netherlands,90000000.0,GRAVENBERCH Ryan,90000000.0,797100000.0,25000000.0,30657692.307692308,350000000.0,0.11290929619872037,3.6,2.9356417011667295,0.2571428571428571,-0.011023546648608579,False
Belgium,65000000.0,DOKU Jeremy,65000000.0,453800000.0,15000000.0,17453846.153846152,206000000.0,0.14323490524460114,4.333333333333333,3.72410753635963,0.3155339805825243,-0.04070312148212138,False
South Korea,25000000.0,KIM Minjae,25000000.0,96000000.0,3250000.0,8000000.0,81500000.0,0.2604166666666667,7.6923076923076925,3.125,0.3067484662576687,-0.08680109163398529,False
USA,60000000.0,PULISIC Christian,60000000.0,322800000.0,16500000.0,17933333.333333332,175000000.0,0.18587360594795538,3.6363636363636362,3.345724907063197,0.34285714285714286,-0.10855647510295822,False
Bosnia and Herzegovina,22000000.0,DEMIROVIC Ermedin,22000000.0,77350000.0,2850000.0,4297222.222222222,49500000.0,0.2844214608920491,7.719298245614035,5.119586296056885,0.4444444444444444,-0.11640115841905309,False
New Zealand,8000000.0,WOOD Chris,8000000.0,22875000.0,600000.0,1525000.0,17500000.0,0.34972677595628415,13.333333333333334,5.245901639344262,0.45714285714285713,-0.2506675052579597,False
Senegal,45000000.0,JACKSON Nicolas,45000000.0,390800000.0,11000000.0,16283333.333333334,192000000.0,0.11514841351074719,4.090909090909091,2.763561924257932,0.234375,-0.2527168360012384,False
Switzerland,40000000.0,KOBEL Gregor,40000000.0,310300000.0,9000000.0,13491304.347826088,167000000.0,0.12890750886239125,4.444444444444445,2.964872703834998,0.23952095808383234,-0.25381711711032456,False
South Africa,13000000.0,FOSTER Lyle,13000000.0,13600000.0,6800000.0,6800000.0,13600000.0,0.9558823529411765,1.911764705882353,1.911764705882353,0.9558823529411765,-0.2751514578546773,False
Cote d'Ivoire,50000000.0,DIALLO Amad,50000000.0,419800000.0,15000000.0,17491666.666666668,198000000.0,0.11910433539780849,3.3333333333333335,2.8585040495474034,0.25252525252525254,-0.2920922411078277,False
Czechia,25000000.0,SCHICK Patrik,25000000.0,126400000.0,7000000.0,8426666.666666666,84000000.0,0.19778481012658228,3.5714285714285716,2.9667721518987342,0.2976190476190476,-0.48257726654837874,False
Qatar,4500000.0,AKRAM AFIF,4500000.0,8800000.0,500000.0,1760000.0,8800000.0,0.5113636363636364,9.0,2.5568181818181817,0.5113636363636364,-0.5074678466100928,False
Paraguay,25000000.0,GOMEZ Diego,25000000.0,106000000.0,8750000.0,10600000.0,77000000.0,0.2358490566037736,2.857142857142857,2.358490566037736,0.3246753246753247,-0.5411839371686455,False
Japan,30000000.0,KUBO Takefusa,30000000.0,224100000.0,10000000.0,11205000.0,111000000.0,0.13386880856760375,3.0,2.677376171352075,0.2702702702702703,-0.5436368760311362,False
Austria,32000000.0,LAIMER Konrad,32000000.0,258400000.0,12000000.0,11234782.608695652,127000000.0,0.1238390092879257,2.6666666666666665,2.848297213622291,0.25196850393700787,-0.576932478538017,False
Jordan,6000000.0,MOUSA ALTAMARI,6000000.0,6150000.0,3075000.0,3075000.0,6150000.0,0.975609756097561,1.951219512195122,1.951219512195122,0.975609756097561,-0.5804648428710658,False
Curacao,6000000.0,CHONG Tahith,6000000.0,34425000.0,800000.0,1564772.7272727273,20000000.0,0.17429193899782136,7.5,3.8344226579520697,0.3,-0.8006909043517484,False
Tunisia,9000000.0,MEJBRI Hannibal,9000000.0,45200000.0,2500000.0,3476923.076923077,32500000.0,0.19911504424778761,3.6,2.588495575221239,0.27692307692307694,-0.9190886851042619,False
Australia,6000000.0,IRANKUNDA Nestory,6000000.0,34050000.0,1400000.0,2128125.0,23500000.0,0.1762114537444934,4.285714285714286,2.8193832599118944,0.2553191489361702,-1.0415731988425658,False
Iraq,3000000.0,ZIDANE IQBAL,3000000.0,7500000.0,600000.0,1071428.5714285714,6750000.0,0.4,5.0,2.8000000000000003,0.4444444444444444,-1.0494376918684083,False
IR Iran,3500000.0,MOHEBBI Mohammad,3500000.0,18475000.0,1000000.0,1421153.8461538462,12300000.0,0.18944519621109607,3.5,2.462787550744249,0.2845528455284553,-1.3489809292058237,False
Saudi Arabia,3000000.0,SAUD ABDULHAMID,3000000.0,5650000.0,2000000.0,1883333.3333333333,5650000.0,0.5309734513274337,1.5,1.592920353982301,0.5309734513274337,-1.4403419771961379,False
